Jurisdiction,Value,Race/ ethnicity,Year,Measure
Dorchester,,Asian Non-Hispanic,2017,Physical activity
Frederick,,Asian Non-Hispanic,2017,Physical activity
Garrett,,Asian Non-Hispanic,2017,Physical activity
Harford,,Asian Non-Hispanic,2017,Physical activity
Howard,,Asian Non-Hispanic,2017,Physical activity
Kent,,Asian Non-Hispanic,2017,Physical activity
Montgomery,53.7,Asian Non-Hispanic,2017,Physical activity
Prince George's,,Asian Non-Hispanic,2017,Physical activity
Queen Anne's,,Asian Non-Hispanic,2017,Physical activity
Saint Mary's,,Asian Non-Hispanic,2017,Physical activity
Somerset,,Asian Non-Hispanic,2017,Physical activity
Talbot,,Asian Non-Hispanic,2017,Physical activity
Washington,,Asian Non-Hispanic,2017,Physical activity
Wicomico,,Asian Non-Hispanic,2017,Physical activity
Worcester,,Asian Non-Hispanic,2017,Physical activity
State,52.9,All races/ ethnicities (aggregated),2015,Physical activity
Allegany,47.9,All races/ ethnicities (aggregated),2015,Physical activity
Anne Arundel,54.9,All races/ ethnicities (aggregated),2015,Physical activity
Baltimore City,50.3,All races/ ethnicities (aggregated),2015,Physical activity
Baltimore County,53.4,All races/ ethnicities (aggregated),2015,Physical activity
Calvert,48.3,All races/ ethnicities (aggregated),2015,Physical activity
Caroline,51.8,All races/ ethnicities (aggregated),2015,Physical activity
Carroll,48.7,All races/ ethnicities (aggregated),2015,Physical activity
Cecil,50.5,All races/ ethnicities (aggregated),2015,Physical activity
Charles,59.5,All races/ ethnicities (aggregated),2015,Physical activity
Dorchester,38.7,All races/ ethnicities (aggregated),2015,Physical activity
Frederick,47.8,All races/ ethnicities (aggregated),2015,Physical activity
Garrett,48.9,All races/ ethnicities (aggregated),2015,Physical activity
Harford,51.2,All races/ ethnicities (aggregated),2015,Physical activity
Howard,63.4,All races/ ethnicities (aggregated),2015,Physical activity
Kent,49.7,All races/ ethnicities (aggregated),2015,Physical activity
Montgomery,56.8,All races/ ethnicities (aggregated),2015,Physical activity
Prince George's,52.6,All races/ ethnicities (aggregated),2015,Physical activity
Queen Anne's,51.2,All races/ ethnicities (aggregated),2015,Physical activity
Saint Mary's,44.8,All races/ ethnicities (aggregated),2015,Physical activity
Somerset,48.8,All races/ ethnicities (aggregated),2015,Physical activity
Talbot,53.4,All races/ ethnicities (aggregated),2015,Physical activity
Washington,45.5,All races/ ethnicities (aggregated),2015,Physical activity
Wicomico,43.3,All races/ ethnicities (aggregated),2015,Physical activity
Worcester,48.6,All races/ ethnicities (aggregated),2015,Physical activity
State,49.4,Black Non-Hispanic,2015,Physical activity
Allegany,,Black Non-Hispanic,2015,Physical activity
