Jurisdiction,Value,Race/ ethnicity,Year,Measure
Prince George's,25.8,Black Non-Hispanic,2012,Weight
Wicomico,40.8,Black Non-Hispanic,2012,Weight
State,31.2,Hispanic,2012,Weight
Montgomery,29.5,Hispanic,2012,Weight
State,38.4,White Non-Hispanic,2012,Weight
Allegany,30.7,White Non-Hispanic,2012,Weight
Anne Arundel,38.9,White Non-Hispanic,2012,Weight
Baltimore City,45.4,White Non-Hispanic,2012,Weight
Baltimore County,38.6,White Non-Hispanic,2012,Weight
Calvert,39.4,White Non-Hispanic,2012,Weight
Caroline,27.3,White Non-Hispanic,2012,Weight
Carroll,29.3,White Non-Hispanic,2012,Weight
Cecil,28.7,White Non-Hispanic,2012,Weight
Charles,33.8,White Non-Hispanic,2012,Weight
Dorchester,28.8,White Non-Hispanic,2012,Weight
Frederick,33.9,White Non-Hispanic,2012,Weight
Garrett,42.4,White Non-Hispanic,2012,Weight
Harford,32.6,White Non-Hispanic,2012,Weight
Howard,46.6,White Non-Hispanic,2012,Weight
Kent,30.6,White Non-Hispanic,2012,Weight
Montgomery,47.6,White Non-Hispanic,2012,Weight
Prince George's,35.6,White Non-Hispanic,2012,Weight
Queen Anne's,34.6,White Non-Hispanic,2012,Weight
Saint Mary's,35.6,White Non-Hispanic,2012,Weight
Somerset,46.3,White Non-Hispanic,2012,Weight
Talbot,43.9,White Non-Hispanic,2012,Weight
Washington,33.8,White Non-Hispanic,2012,Weight
Wicomico,36.3,White Non-Hispanic,2012,Weight
Worcester,29.8,White Non-Hispanic,2012,Weight
State,59.8,Asian Non-Hispanic,2012,Weight
Montgomery,59.8,Asian Non-Hispanic,2012,Weight
State,35.6,All races/ ethnicities (aggregated),2011,Weight
Allegany,30.2,All races/ ethnicities (aggregated),2011,Weight
Anne Arundel,36.9,All races/ ethnicities (aggregated),2011,Weight
Baltimore City,34.5,All races/ ethnicities (aggregated),2011,Weight
Baltimore County,36.7,All races/ ethnicities (aggregated),2011,Weight
Calvert,32.3,All races/ ethnicities (aggregated),2011,Weight
Caroline,32.3,All races/ ethnicities (aggregated),2011,Weight
Carroll,31.1,All races/ ethnicities (aggregated),2011,Weight
Cecil,25.0,All races/ ethnicities (aggregated),2011,Weight
Charles,30.6,All races/ ethnicities (aggregated),2011,Weight
Dorchester,27.7,All races/ ethnicities (aggregated),2011,Weight
Frederick,41.0,All races/ ethnicities (aggregated),2011,Weight
Garrett,33.7,All races/ ethnicities (aggregated),2011,Weight
Harford,24.9,All races/ ethnicities (aggregated),2011,Weight
Howard,45.2,All races/ ethnicities (aggregated),2011,Weight
Kent,30.3,All races/ ethnicities (aggregated),2011,Weight
Montgomery,43.9,All races/ ethnicities (aggregated),2011,Weight
Prince George's,30.2,All races/ ethnicities (aggregated),2011,Weight
Queen Anne's,40.8,All races/ ethnicities (aggregated),2011,Weight
Saint Mary's,34.4,All races/ ethnicities (aggregated),2011,Weight
Somerset,27.1,All races/ ethnicities (aggregated),2011,Weight
Talbot,37.4,All races/ ethnicities (aggregated),2011,Weight
Washington,34.1,All races/ ethnicities (aggregated),2011,Weight
Wicomico,28.1,All races/ ethnicities (aggregated),2011,Weight
Worcester,36.7,All races/ ethnicities (aggregated),2011,Weight
State,26.8,Black Non-Hispanic,2011,Weight
Anne Arundel,36.7,Black Non-Hispanic,2011,Weight
Baltimore City,25.0,Black Non-Hispanic,2011,Weight
Baltimore County,28.2,Black Non-Hispanic,2011,Weight
Charles,26.5,Black Non-Hispanic,2011,Weight
Montgomery,36.7,Black Non-Hispanic,2011,Weight
Prince George's,26.5,Black Non-Hispanic,2011,Weight
State,39.7,Hispanic,2011,Weight
Montgomery,40.1,Hispanic,2011,Weight
State,37.8,White Non-Hispanic,2011,Weight
Allegany,32.3,White Non-Hispanic,2011,Weight
Anne Arundel,36.0,White Non-Hispanic,2011,Weight
Baltimore City,48.8,White Non-Hispanic,2011,Weight
Baltimore County,38.1,White Non-Hispanic,2011,Weight
Calvert,34.4,White Non-Hispanic,2011,Weight
Caroline,31.6,White Non-Hispanic,2011,Weight
Carroll,29.7,White Non-Hispanic,2011,Weight
Cecil,28.2,White Non-Hispanic,2011,Weight
Charles,34.5,White Non-Hispanic,2011,Weight
Dorchester,35.2,White Non-Hispanic,2011,Weight
Frederick,43.8,White Non-Hispanic,2011,Weight
Garrett,37.8,White Non-Hispanic,2011,Weight
Harford,28.0,White Non-Hispanic,2011,Weight
Howard,43.7,White Non-Hispanic,2011,Weight
Kent,32.4,White Non-Hispanic,2011,Weight
Montgomery,45.3,White Non-Hispanic,2011,Weight
Prince George's,31.5,White Non-Hispanic,2011,Weight
Queen Anne's,42.8,White Non-Hispanic,2011,Weight
Saint Mary's,36.7,White Non-Hispanic,2011,Weight
Somerset,30.8,White Non-Hispanic,2011,Weight
Talbot,33.7,White Non-Hispanic,2011,Weight
